历史行为组合_名称,裂变类型,转化率
仅助力,助力砍价,0.20538651315789475
仅助力,拼团狂买,0.1335916785641444
仅助力,无裂变页面,0.12792353060809436
仅拼团,助力砍价,0.19454135029755798
仅拼团,拼团狂买,0.20204081632653062
仅拼团,无裂变页面,0.12751953928424517
全部参与,助力砍价,0.29838087895142634
全部参与,拼团狂买,0.25520431765612955
全部参与,无裂变页面,0.16552771450265755
助力+拼团,助力砍价,0.3393665158371041
助力+拼团,拼团狂买,0.24604141291108406
助力+拼团,无裂变页面,0.20432692307692307
助力+推荐,助力砍价,0.13123135918193438
助力+推荐,拼团狂买,0.08730663276117821
助力+推荐,无裂变页面,0.07053590341029443
拼团+推荐,助力砍价,0.13716719914802983
拼团+推荐,拼团狂买,0.13650726774805141
拼团+推荐,无裂变页面,0.06270130985613055
